4 76.2
8 212.3
12 310.0
16 561.8
20 707.3
24 806.6
28 1065.0
32 1360.3
36 1525.5
40 1628.1
44 2056.8
48 2069.3
52 2505.7
56 2822.7
60 3011.1
64 3363.9
68 3375.4
72 3966.8
76 4126.0
80 4647.1
84 5061.6
88 4930.1
92 5633.0
96 6178.5
100 6345.7
104 6498.1
108 7001.7
112 7240.6
116 7720.3
120 8394.2
124 8582.5
128 9246.3
132 9428.7
136 9378.8
140 10711.6
144 11472.6
148 10410.2
152 10699.6
156 12701.7
160 12908.8
164 13377.6
168 13501.1
172 13871.4
176 14194.7
180 14542.6
184 14902.4
188 16220.1
192 15854.5
196 17537.7
200 16926.6
204 16570.6
208 17594.6
212 18501.8
216 19223.7
220 20234.5
224 20459.6
228 20492.4
232 22082.5
236 22587.2
240 21923.5
244 23328.1
248 23378.4
252 23925.4
256 24127.2
